study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB7669	SAMEA3231533	ERX701791	ERR757161	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757161/ERR757161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757161/ERR757161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757161/Eldholm-gDNA-38_TGACCA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757161/Eldholm-gDNA-38_TGACCA_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757161
PRJEB7669	SAMEA3231535	ERX701792	ERR757162	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757162/ERR757162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757162/ERR757162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757162/Eldholm-TubDNA2-106_CGATGT_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757162/Eldholm-TubDNA2-106_CGATGT_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757162
PRJEB7669	SAMEA3231536	ERX701793	ERR757163	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757163/ERR757163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757163/ERR757163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757163/Eldholm-TubDNA2-107_TGACCA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757163/Eldholm-TubDNA2-107_TGACCA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757163
PRJEB7669	SAMEA3231537	ERX701794	ERR757164	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757164/ERR757164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757164/ERR757164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757164/Eldholm-TubDNA2-108_ACAGTG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757164/Eldholm-TubDNA2-108_ACAGTG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757164
PRJEB7669	SAMEA3231538	ERX701795	ERR757165	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757165/ERR757165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757165/ERR757165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757165/Eldholm-TubDNA2-110_GCCAAT_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757165/Eldholm-TubDNA2-110_GCCAAT_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757165
PRJEB7669	SAMEA3231539	ERX701796	ERR757166	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757166/ERR757166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757166/ERR757166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757166/Eldholm-TubDNA3-112_CGTACG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757166/Eldholm-TubDNA3-112_CGTACG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757166
PRJEB7669	SAMEA3231540	ERX701797	ERR757167	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757167/ERR757167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757167/ERR757167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757167/Eldholm-TubDNA2-120_CAGATC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757167/Eldholm-TubDNA2-120_CAGATC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757167
PRJEB7669	SAMEA3231541	ERX701798	ERR757168	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757168/ERR757168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757168/ERR757168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757168/Eldholm-TubDNA3-133_GAGTGG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757168/Eldholm-TubDNA3-133_GAGTGG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757168
PRJEB7669	SAMEA3231542	ERX701799	ERR757169	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757169/ERR757169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757169/ERR757169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757169/Eldholm-TubDNA2-134_CTTGTA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757169/Eldholm-TubDNA2-134_CTTGTA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757169
PRJEB7669	SAMEA3231543	ERX701800	ERR757170	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757170/ERR757170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757170/ERR757170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757170/Eldholm-TubDNA2-135_ATCACG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757170/Eldholm-TubDNA2-135_ATCACG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757170
PRJEB7669	SAMEA3231544	ERX701801	ERR757171	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757171/ERR757171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757171/ERR757171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757171/Eldholm-TubDNA2-136_TTAGGC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757171/Eldholm-TubDNA2-136_TTAGGC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757171
PRJEB7669	SAMEA3231545	ERX701802	ERR757172	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757172/ERR757172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757172/ERR757172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757172/Eldholm-TubDNA2-137_ACTTGA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757172/Eldholm-TubDNA2-137_ACTTGA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757172
PRJEB7669	SAMEA3231546	ERX701803	ERR757173	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757173/ERR757173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757173/ERR757173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757173/Eldholm-TubDNA2-140_GATCAG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757173/Eldholm-TubDNA2-140_GATCAG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757173
PRJEB7669	SAMEA3231547	ERX701804	ERR757174	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757174/ERR757174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757174/ERR757174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757174/Eldholm-TubDNA2-141_TAGCTT_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757174/Eldholm-TubDNA2-141_TAGCTT_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757174
PRJEB7669	SAMEA3231548	ERX701805	ERR757175	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757175/ERR757175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757175/ERR757175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757175/Eldholm-TubDNA2-142_GGCTAC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757175/Eldholm-TubDNA2-142_GGCTAC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757175
PRJEB7669	SAMEA3231549	ERX701806	ERR757176	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757176/ERR757176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757176/ERR757176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757176/Eldholm-TubDNA2-144_AGTCAA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757176/Eldholm-TubDNA2-144_AGTCAA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757176
PRJEB7669	SAMEA3231550	ERX701807	ERR757177	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757177/ERR757177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757177/ERR757177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757177/Eldholm-TubDNA2-145_AGTTCC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757177/Eldholm-TubDNA2-145_AGTTCC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757177
PRJEB7669	SAMEA3231551	ERX701808	ERR757178	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757178/ERR757178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757178/ERR757178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757178/Eldholm-TubDNA2-147_ATGTCA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757178/Eldholm-TubDNA2-147_ATGTCA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757178
PRJEB7669	SAMEA3231552	ERX701809	ERR757179	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757179/ERR757179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757179/ERR757179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757179/Eldholm-TubDNA2-148_CCGTCC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757179/Eldholm-TubDNA2-148_CCGTCC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757179
PRJEB7669	SAMEA3231553	ERX701810	ERR757180	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757180/ERR757180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757180/ERR757180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757180/Eldholm-TubDNA2-153_GTAGAG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757180/Eldholm-TubDNA2-153_GTAGAG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757180
PRJEB7669	SAMEA3231554	ERX701811	ERR757181	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757181/ERR757181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757181/ERR757181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757181/Eldholm-gDNA-156_CAGATC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757181/Eldholm-gDNA-156_CAGATC_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757181
PRJEB7669	SAMEA3231555	ERX701812	ERR757182	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757182/ERR757182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757182/ERR757182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757182/Eldholm-TubDNA2-158_GTCCGC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757182/Eldholm-TubDNA2-158_GTCCGC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757182
PRJEB7669	SAMEA3231556	ERX701813	ERR757183	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757183/ERR757183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757183/ERR757183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757183/Eldholm-gDNA-163_CTTGTA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757183/Eldholm-gDNA-163_CTTGTA_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757183
PRJEB7669	SAMEA3231557	ERX701814	ERR757184	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757184/ERR757184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757184/ERR757184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757184/Eldholm-gDNA-168_ATCACG_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757184/Eldholm-gDNA-168_ATCACG_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757184
PRJEB7669	SAMEA3231558	ERX701815	ERR757185	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757185/ERR757185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757185/ERR757185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757185/Eldholm-TubDNA3-172_GGTAGC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757185/Eldholm-TubDNA3-172_GGTAGC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757185
PRJEB7669	SAMEA3231559	ERX701816	ERR757186	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757186/ERR757186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757186/ERR757186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757186/Eldholm-TubDNA2-174_GTGAAA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757186/Eldholm-TubDNA2-174_GTGAAA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757186
PRJEB7669	SAMEA3231560	ERX701817	ERR757187	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757187/ERR757187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757187/ERR757187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757187/Eldholm-TubDNA2-175_GTGGCC_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757187/Eldholm-TubDNA2-175_GTGGCC_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757187
PRJEB7669	SAMEA3231561	ERX701818	ERR757188	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757188/ERR757188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757188/ERR757188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757188/Eldholm-TubDNA2-178_GTTTCG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757188/Eldholm-TubDNA2-178_GTTTCG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757188
PRJEB7669	SAMEA3231562	ERX701819	ERR757189	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757189/ERR757189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757189/ERR757189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757189/Eldholm-gDNA-180_TTAGGC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757189/Eldholm-gDNA-180_TTAGGC_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757189
PRJEB7669	SAMEA3231528	ERX703009	ERR758379	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR758/ERR758379/ERR758379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR758/ERR758379/ERR758379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR758/ERR758379/Eldholm-TubDNA-M17_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR758/ERR758379/Eldholm-TubDNA-M17_S3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR758/ERR758379
PRJEB7669	SAMEA3231642	ERX705225	ERR760595	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760595/ERR760595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760595/ERR760595_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760595/1005_CATTTT_L003_R1_001.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760595/1005_CATTTT_L003_R2_001.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR760/ERR760595
PRJEB7669	SAMEA3231643	ERX705226	ERR760596	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760596/ERR760596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760596/ERR760596_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760596/1008_CCAACA_L003_R1_001.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760596/1008_CCAACA_L003_R2_001.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR760/ERR760596
PRJEB7669	SAMEA3231644	ERX705227	ERR760597	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760597/ERR760597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR760/ERR760597/ERR760597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760597/1009_CTCAGA_L001_R1_001.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR760/ERR760597/1009_CTCAGA_L001_R2_001.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR760/ERR760597
