DATASET_BINARY
#Binary datasets are visualized as filled or empty symbols, depending on the value associated with a node (0 or 1).
#Each node can have multiple associated values, and each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS).
#Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely omitted).

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
##SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Drug_resistance

#dataset color (can be changed later)
COLOR	#ff0000

#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: check mark
FIELD_SHAPES	1	2	3	4
ERR760782	-1	-1	-1	1
ERR760783	-1	-1	-1	1
ERR760784	-1	-1	-1	1
ERR760785	-1	-1	1	-1
ERR760786	-1	-1	-1	1
ERR760787	-1	-1	-1	1
ERR760788	-1	-1	-1	1
ERR760789	-1	-1	-1	1
ERR760790	-1	-1	-1	1
ERR760791	-1	-1	-1	1
ERR760792	-1	-1	-1	1
ERR760793	-1	-1	-1	1
ERR760794	-1	-1	-1	1
ERR760795	-1	-1	-1	1
ERR760796	-1	-1	-1	1
ERR760797	-1	-1	-1	1
ERR760798	-1	-1	-1	1
ERR762353	-1	-1	-1	1
ERR760799	-1	-1	-1	1
ERR760800	-1	-1	-1	1
ERR760801	-1	-1	-1	1
ERR760802	-1	-1	-1	1
ERR760803	-1	-1	-1	1
ERR760888	-1	-1	-1	1
ERR760889	-1	-1	-1	1
ERR760890	-1	-1	-1	1
ERR760891	-1	-1	-1	1
ERR760892	-1	-1	-1	1
ERR760893	-1	-1	1	-1
ERR760894	-1	-1	-1	1
ERR760895	-1	-1	-1	1
ERR760896	-1	-1	-1	1
ERR760897	-1	-1	-1	1
ERR760899	-1	-1	-1	1
ERR760900	-1	-1	-1	1
ERR760901	-1	-1	-1	1
ERR760902	-1	-1	-1	1
ERR760903	-1	-1	-1	1
ERR760904	-1	-1	-1	1
ERR760905	-1	-1	-1	1
ERR760906	-1	-1	-1	1
ERR760907	-1	-1	-1	1
ERR760908	-1	-1	-1	1
ERR760909	-1	-1	-1	1
ERR760910	-1	-1	-1	1
ERR760911	-1	-1	-1	1
ERR760912	-1	-1	-1	1
ERR760913	-1	-1	-1	1
ERR760914	-1	-1	-1	1
ERR760915	-1	-1	-1	1
ERR760916	-1	-1	-1	1
ERR760917	-1	-1	-1	1
ERR760918	-1	-1	-1	1
ERR760919	-1	-1	-1	1
ERR760920	-1	-1	-1	1
ERR760921	-1	-1	-1	1
ERR760922	-1	-1	-1	1
ERR760923	-1	-1	-1	1
ERR760924	-1	-1	-1	1
ERR760925	-1	-1	-1	1
ERR760926	-1	-1	-1	1
ERR760927	-1	-1	-1	1
ERR845303	-1	-1	-1	1
ERR845304	-1	-1	-1	1
ERR845305	-1	-1	-1	1
ERR845306	-1	-1	-1	1
ERR845307	-1	-1	-1	1
ERR845327	-1	-1	-1	1
ERR845328	-1	-1	-1	1
ERR845329	-1	-1	-1	1
ERR845330	-1	-1	-1	1
ERR850262	-1	-1	-1	1
ERR758379	-1	1	-1	-1
ERR850078	-1	1	-1	-1
